sample1	sample2	fract_vit_sites_IBD
SRR1562518	SRR1562870	0.10
SRR1562518	SRR1562965	0.03
SRR1562518	SRR1562967	0.01
SRR1562518	SRR1562971	0.03
SRR1562518	SRR1562975	0.04
SRR1562518	SRR1564660	0.04
SRR1562518	SRR1564665	0.05
SRR1562518	SRR1564670	0.03
SRR1562518	SRR1568112	0.03
SRR1562518	SRR1568118	0.04
SRR1562518	SRR1568128	0.05
SRR1562518	SRR1568155	0.06
SRR1562518	SRR1568160	0.26
SRR1562518	SRR1568169	0.79
SRR1562518	SRR1568171	0.04
SRR1562518	SRR1568207	0.03
SRR1562518	SRR1568213	0.04
SRR1562518	SRR1568221	0.03
SRR1562518	SRR1568227	0.06
SRR1562518	SRR1568230	0.04
SRR1562518	SRR1568235	0.03
SRR1562518	SRR1568236	0.01
SRR1562518	SRR1573226	0.03
SRR1562518	ERR2299557	0.02
SRR1562518	ERR2299558	0.02
SRR1562518	ERR2299582	0.03
SRR1562518	ERR2299586	0.02
SRR1562518	ERR2299596	0.07
SRR1562518	ERR2299666	0.02
SRR1562518	ERR2299667	0.03
SRR1562518	ERR2299668	0.04
SRR1562518	ERR2299669	0.05
SRR1562518	ERR2299670	0.04
SRR1562518	ERR2299699	0.04
SRR1562518	ERR2299672	0.03
SRR1562518	ERR2299673	0.03
SRR1562518	ERR2299674	0.03
SRR1562518	ERR2299675	0.04
SRR1562518	ERR2299704	0.04
SRR1562518	ERR2299679	0.04
SRR1562518	ERR2299680	0.04
SRR1562518	ERR2299681	0.03
SRR1562518	ERR2299682	0.04
SRR1562518	ERR2299683	0.04
SRR1562518	ERR2299684	0.04
SRR1562518	ERR2299685	0.01
SRR1562524	SRR1562555	0.03
SRR1562524	SRR1562818	0.06
SRR1562524	SRR1562870	0.03
SRR1562524	SRR1562965	0.07
SRR1562524	SRR1562967	0.01
SRR1562524	SRR1562971	0.03
SRR1562524	SRR1562975	0.04
SRR1562524	SRR1564660	0.02
SRR1562524	SRR1564665	0.06
SRR1562524	SRR1564670	0.03
SRR1562524	SRR1568112	0.02
SRR1562524	SRR1568118	0.03
SRR1562524	SRR1568128	0.04
SRR1562524	SRR1568155	0.03
SRR1562524	SRR1568160	0.05
SRR1562524	SRR1568169	0.06
SRR1562524	SRR1568171	0.06
SRR1562524	SRR1568207	0.03
SRR1562524	SRR1568213	0.03
SRR1562524	SRR1568221	0.05
SRR1562524	SRR1568227	0.03
SRR1562524	SRR1568230	0.02
SRR1562524	SRR1568235	0.04
SRR1562524	SRR1568236	0.02
SRR1562524	SRR1573226	0.07
SRR1562524	ERR2299557	0.06
SRR1562524	ERR2299558	0.06
SRR1562524	ERR2299582	0.05
SRR1562524	ERR2299586	0.03
SRR1562524	ERR2299596	0.04
SRR1562524	ERR2299666	0.01
SRR1562524	ERR2299667	0.02
SRR1562524	ERR2299668	0.02
SRR1562524	ERR2299669	0.02
SRR1562524	ERR2299670	0.02
SRR1562524	ERR2299699	0.02
SRR1562524	ERR2299672	0.02
SRR1562524	ERR2299673	0.02
SRR1562524	ERR2299674	0.02
SRR1562524	ERR2299675	0.02
SRR1562524	ERR2299704	0.02
SRR1562524	ERR2299679	0.05
SRR1562524	ERR2299680	0.06
SRR1562524	ERR2299681	0.02
SRR1562524	ERR2299682	0.02
SRR1562524	ERR2299683	0.02
SRR1562524	ERR2299684	0.05
SRR1562524	ERR2299685	0.03
SRR1562555	SRR1562818	0.04
SRR1562555	SRR1562870	0.06
SRR1562555	SRR1562965	0.04
SRR1562555	SRR1562967	0.01
SRR1562555	SRR1562971	0.04
SRR1562555	SRR1562975	0.06
SRR1562555	SRR1564660	0.04
SRR1562555	SRR1564665	0.04
SRR1562555	SRR1564670	0.04
SRR1562555	SRR1568112	0.23
SRR1562555	SRR1568118	0.04
SRR1562555	SRR1568128	0.04
SRR1562555	SRR1568155	0.04
SRR1562555	SRR1568160	0.07
SRR1562555	SRR1568169	0.08
SRR1562555	SRR1568171	0.03
SRR1562555	SRR1568207	0.04
SRR1562555	SRR1568213	0.04
SRR1562555	SRR1568221	0.04
SRR1562555	SRR1568227	0.04
SRR1562555	SRR1568230	0.04
SRR1562555	SRR1568235	0.03
SRR1562555	SRR1568236	0.01
SRR1562555	SRR1573226	0.03
SRR1562555	ERR2299557	0.05
SRR1562555	ERR2299558	0.05
SRR1562555	ERR2299582	0.02
SRR1562555	ERR2299586	0.03
SRR1562555	ERR2299596	0.05
SRR1562555	ERR2299666	0.03
SRR1562555	ERR2299667	0.04
SRR1562555	ERR2299668	0.04
SRR1562555	ERR2299669	0.24
SRR1562555	ERR2299670	0.04
SRR1562555	ERR2299699	0.04
SRR1562555	ERR2299672	0.04
SRR1562555	ERR2299673	0.04
SRR1562555	ERR2299674	0.04
SRR1562555	ERR2299675	0.04
SRR1562555	ERR2299704	0.04
SRR1562555	ERR2299679	0.05
SRR1562555	ERR2299680	0.04
SRR1562555	ERR2299681	0.04
SRR1562555	ERR2299682	0.04
SRR1562555	ERR2299683	0.04
SRR1562555	ERR2299684	0.05
SRR1562555	ERR2299685	0.01
SRR1562818	SRR1562870	0.05
SRR1562818	SRR1562965	0.07
SRR1562818	SRR1562967	0.01
SRR1562818	SRR1562971	0.07
SRR1562818	SRR1562975	0.06
SRR1562818	SRR1564660	0.02
SRR1562818	SRR1564665	0.09
SRR1562818	SRR1564670	0.07
SRR1562818	SRR1568112	0.03
SRR1562818	SRR1568118	0.05
SRR1562818	SRR1568128	0.05
SRR1562818	SRR1568155	0.05
SRR1562818	SRR1568160	0.08
SRR1562818	SRR1568169	0.04
SRR1562818	SRR1568171	0.05
SRR1562818	SRR1568207	0.07
SRR1562818	SRR1568213	0.03
SRR1562818	SRR1568221	0.05
SRR1562818	SRR1568227	0.05
SRR1562818	SRR1568230	0.03
SRR1562818	SRR1568235	0.06
SRR1562818	SRR1568236	0.02
SRR1562818	SRR1573226	0.06
SRR1562818	ERR2299557	0.05
SRR1562818	ERR2299558	0.05
SRR1562818	ERR2299582	0.06
SRR1562818	ERR2299586	0.03
SRR1562818	ERR2299596	0.07
SRR1562818	ERR2299666	0.01
SRR1562818	ERR2299667	0.02
SRR1562818	ERR2299668	0.02
SRR1562818	ERR2299669	0.02
SRR1562818	ERR2299670	0.03
SRR1562818	ERR2299699	0.02
SRR1562818	ERR2299672	0.02
SRR1562818	ERR2299673	0.02
SRR1562818	ERR2299674	0.02
SRR1562818	ERR2299675	0.03
SRR1562818	ERR2299704	0.02
SRR1562818	ERR2299679	0.09
SRR1562818	ERR2299680	0.08
SRR1562818	ERR2299681	0.02
SRR1562818	ERR2299682	0.02
SRR1562818	ERR2299683	0.02
SRR1562818	ERR2299684	0.09
SRR1562818	ERR2299685	0.02
SRR1562870	SRR1562965	0.04
SRR1562870	SRR1562967	0.01
SRR1562870	SRR1562971	0.05
SRR1562870	SRR1562975	0.11
SRR1562870	SRR1564660	0.02
SRR1562870	SRR1564665	0.02
SRR1562870	SRR1564670	0.05
SRR1562870	SRR1568112	0.03
SRR1562870	SRR1568118	0.52
SRR1562870	SRR1568128	0.04
SRR1562870	SRR1568155	0.07
SRR1562870	SRR1568160	0.09
SRR1562870	SRR1568169	0.10
SRR1562870	SRR1568171	0.04
SRR1562870	SRR1568207	0.05
SRR1562870	SRR1568213	0.07
SRR1562870	SRR1568221	0.03
SRR1562870	SRR1568227	0.07
SRR1562870	SRR1568230	0.06
SRR1562870	SRR1568235	0.04
SRR1562870	SRR1568236	0.02
SRR1562870	SRR1573226	0.04
SRR1562870	ERR2299557	0.02
SRR1562870	ERR2299558	0.02
SRR1562870	ERR2299582	0.05
SRR1562870	ERR2299586	0.03
SRR1562870	ERR2299596	0.09
SRR1562870	ERR2299666	0.02
SRR1562870	ERR2299667	0.03
SRR1562870	ERR2299668	0.02
SRR1562870	ERR2299669	0.04
SRR1562870	ERR2299670	0.06
SRR1562870	ERR2299699	0.02
SRR1562870	ERR2299672	0.02
SRR1562870	ERR2299673	0.03
SRR1562870	ERR2299674	0.03
SRR1562870	ERR2299675	0.05
SRR1562870	ERR2299704	0.02
SRR1562870	ERR2299679	0.06
SRR1562870	ERR2299680	0.06
SRR1562870	ERR2299681	0.03
SRR1562870	ERR2299682	0.02
SRR1562870	ERR2299683	0.02
SRR1562870	ERR2299684	0.06
SRR1562870	ERR2299685	0.03
SRR1562965	SRR1562967	0.01
SRR1562965	SRR1562971	0.03
SRR1562965	SRR1562975	0.05
SRR1562965	SRR1564660	0.02
SRR1562965	SRR1564665	0.05
SRR1562965	SRR1564670	0.03
SRR1562965	SRR1568112	0.03
SRR1562965	SRR1568118	0.05
SRR1562965	SRR1568128	0.04
SRR1562965	SRR1568155	0.05
SRR1562965	SRR1568160	0.05
SRR1562965	SRR1568169	0.04
SRR1562965	SRR1568171	0.05
SRR1562965	SRR1568207	0.03
SRR1562965	SRR1568213	0.04
SRR1562965	SRR1568221	0.04
SRR1562965	SRR1568227	0.05
SRR1562965	SRR1568230	0.06
SRR1562965	SRR1568235	0.03
SRR1562965	SRR1568236	0.01
SRR1562965	SRR1573226	0.04
SRR1562965	ERR2299557	0.04
SRR1562965	ERR2299558	0.04
SRR1562965	ERR2299582	0.06
SRR1562965	ERR2299586	0.04
SRR1562965	ERR2299596	0.10
SRR1562965	ERR2299666	0.01
SRR1562965	ERR2299667	0.02
SRR1562965	ERR2299668	0.02
SRR1562965	ERR2299669	0.03
SRR1562965	ERR2299670	0.06
SRR1562965	ERR2299699	0.02
SRR1562965	ERR2299672	0.02
SRR1562965	ERR2299673	0.02
SRR1562965	ERR2299674	0.02
SRR1562965	ERR2299675	0.05
SRR1562965	ERR2299704	0.02
SRR1562965	ERR2299679	0.05
SRR1562965	ERR2299680	0.07
SRR1562965	ERR2299681	0.02
SRR1562965	ERR2299682	0.02
SRR1562965	ERR2299683	0.02
SRR1562965	ERR2299684	0.05
SRR1562965	ERR2299685	0.02
SRR1562967	SRR1562971	0.01
SRR1562967	SRR1562975	0.01
SRR1562967	SRR1564660	0.00
SRR1562967	SRR1564665	0.01
SRR1562967	SRR1564670	0.00
SRR1562967	SRR1568112	0.00
SRR1562967	SRR1568118	0.01
SRR1562967	SRR1568128	0.01
SRR1562967	SRR1568155	0.00
SRR1562967	SRR1568160	0.01
SRR1562967	SRR1568169	0.01
SRR1562967	SRR1568171	0.00
SRR1562967	SRR1568207	0.00
SRR1562967	SRR1568213	0.01
SRR1562967	SRR1568221	0.01
SRR1562967	SRR1568227	0.00
SRR1562967	SRR1568230	0.00
SRR1562967	SRR1568235	0.01
SRR1562967	SRR1568236	0.15
SRR1562967	SRR1573226	0.01
SRR1562967	ERR2299557	0.01
SRR1562967	ERR2299558	0.01
SRR1562967	ERR2299582	0.01
SRR1562967	ERR2299586	0.00
SRR1562967	ERR2299596	0.01
SRR1562967	ERR2299666	0.00
SRR1562967	ERR2299667	0.00
SRR1562967	ERR2299668	0.00
SRR1562967	ERR2299669	0.01
SRR1562967	ERR2299670	0.00
SRR1562967	ERR2299699	0.00
SRR1562967	ERR2299672	0.00
SRR1562967	ERR2299673	0.00
SRR1562967	ERR2299674	0.00
SRR1562967	ERR2299675	0.00
SRR1562967	ERR2299704	0.00
SRR1562967	ERR2299679	0.01
SRR1562967	ERR2299680	0.01
SRR1562967	ERR2299681	0.00
SRR1562967	ERR2299682	0.00
SRR1562967	ERR2299683	0.00
SRR1562967	ERR2299684	0.01
SRR1562967	ERR2299685	0.01
SRR1562971	SRR1562975	0.12
SRR1562971	SRR1564660	0.02
SRR1562971	SRR1564665	0.05
SRR1562971	SRR1564670	1.00
SRR1562971	SRR1568112	0.04
SRR1562971	SRR1568118	0.04
SRR1562971	SRR1568128	0.05
SRR1562971	SRR1568155	0.07
SRR1562971	SRR1568160	0.06
SRR1562971	SRR1568169	0.03
SRR1562971	SRR1568171	0.03
SRR1562971	SRR1568207	1.00
SRR1562971	SRR1568213	0.10
SRR1562971	SRR1568221	0.03
SRR1562971	SRR1568227	0.07
SRR1562971	SRR1568230	0.03
SRR1562971	SRR1568235	0.04
SRR1562971	SRR1568236	0.01
SRR1562971	SRR1573226	0.05
SRR1562971	ERR2299557	0.03
SRR1562971	ERR2299558	0.03
SRR1562971	ERR2299582	0.04
SRR1562971	ERR2299586	0.02
SRR1562971	ERR2299596	0.06
SRR1562971	ERR2299666	0.03
SRR1562971	ERR2299667	0.03
SRR1562971	ERR2299668	0.02
SRR1562971	ERR2299669	0.02
SRR1562971	ERR2299670	0.03
SRR1562971	ERR2299699	0.03
SRR1562971	ERR2299672	0.02
SRR1562971	ERR2299673	0.03
SRR1562971	ERR2299674	0.03
SRR1562971	ERR2299675	0.03
SRR1562971	ERR2299704	0.02
SRR1562971	ERR2299679	0.05
SRR1562971	ERR2299680	0.03
SRR1562971	ERR2299681	0.03
SRR1562971	ERR2299682	0.02
SRR1562971	ERR2299683	0.02
SRR1562971	ERR2299684	0.05
SRR1562971	ERR2299685	0.02
SRR1562975	SRR1564660	0.02
SRR1562975	SRR1564665	0.04
SRR1562975	SRR1564670	0.12
SRR1562975	SRR1568112	0.01
SRR1562975	SRR1568118	0.05
SRR1562975	SRR1568128	0.05
SRR1562975	SRR1568155	0.07
SRR1562975	SRR1568160	0.12
SRR1562975	SRR1568169	0.06
SRR1562975	SRR1568171	0.03
SRR1562975	SRR1568207	0.12
SRR1562975	SRR1568213	0.07
SRR1562975	SRR1568221	0.04
SRR1562975	SRR1568227	0.07
SRR1562975	SRR1568230	0.05
SRR1562975	SRR1568235	0.03
SRR1562975	SRR1568236	0.01
SRR1562975	SRR1573226	0.03
SRR1562975	ERR2299557	0.03
SRR1562975	ERR2299558	0.04
SRR1562975	ERR2299582	0.03
SRR1562975	ERR2299586	0.03
SRR1562975	ERR2299596	0.04
SRR1562975	ERR2299666	0.01
SRR1562975	ERR2299667	0.01
SRR1562975	ERR2299668	0.02
SRR1562975	ERR2299669	0.02
SRR1562975	ERR2299670	0.05
SRR1562975	ERR2299699	0.02
SRR1562975	ERR2299672	0.02
SRR1562975	ERR2299673	0.01
SRR1562975	ERR2299674	0.01
SRR1562975	ERR2299675	0.05
SRR1562975	ERR2299704	0.02
SRR1562975	ERR2299679	0.03
SRR1562975	ERR2299680	0.06
SRR1562975	ERR2299681	0.01
SRR1562975	ERR2299682	0.02
SRR1562975	ERR2299683	0.02
SRR1562975	ERR2299684	0.03
SRR1562975	ERR2299685	0.04
SRR1564660	SRR1564665	0.04
SRR1564660	SRR1564670	0.02
SRR1564660	SRR1568112	0.81
SRR1564660	SRR1568118	0.05
SRR1564660	SRR1568128	0.02
SRR1564660	SRR1568155	0.03
SRR1564660	SRR1568160	0.02
SRR1564660	SRR1568169	0.04
SRR1564660	SRR1568171	0.01
SRR1564660	SRR1568207	0.02
SRR1564660	SRR1568213	0.03
SRR1564660	SRR1568221	0.00
SRR1564660	SRR1568227	0.03
SRR1564660	SRR1568230	0.04
SRR1564660	SRR1568235	0.01
SRR1564660	SRR1568236	0.00
SRR1564660	SRR1573226	0.02
SRR1564660	ERR2299557	0.01
SRR1564660	ERR2299558	0.01
SRR1564660	ERR2299582	0.00
SRR1564660	ERR2299586	0.01
SRR1564660	ERR2299596	0.09
SRR1564660	ERR2299666	0.91
SRR1564660	ERR2299667	0.91
SRR1564660	ERR2299668	1.00
SRR1564660	ERR2299669	0.81
SRR1564660	ERR2299670	0.04
SRR1564660	ERR2299699	0.93
SRR1564660	ERR2299672	1.00
SRR1564660	ERR2299673	0.91
SRR1564660	ERR2299674	0.91
SRR1564660	ERR2299675	0.04
SRR1564660	ERR2299704	1.00
SRR1564660	ERR2299679	0.02
SRR1564660	ERR2299680	0.02
SRR1564660	ERR2299681	0.91
SRR1564660	ERR2299682	1.00
SRR1564660	ERR2299683	1.00
SRR1564660	ERR2299684	0.02
SRR1564660	ERR2299685	0.01
SRR1564665	SRR1564670	0.05
SRR1564665	SRR1568112	0.04
SRR1564665	SRR1568118	0.03
SRR1564665	SRR1568128	0.05
SRR1564665	SRR1568155	0.02
SRR1564665	SRR1568160	0.07
SRR1564665	SRR1568169	0.05
SRR1564665	SRR1568171	0.13
SRR1564665	SRR1568207	0.05
SRR1564665	SRR1568213	0.05
SRR1564665	SRR1568221	0.04
SRR1564665	SRR1568227	0.02
SRR1564665	SRR1568230	0.04
SRR1564665	SRR1568235	0.06
SRR1564665	SRR1568236	0.01
SRR1564665	SRR1573226	0.05
SRR1564665	ERR2299557	0.03
SRR1564665	ERR2299558	0.03
SRR1564665	ERR2299582	0.05
SRR1564665	ERR2299586	0.04
SRR1564665	ERR2299596	0.04
SRR1564665	ERR2299666	0.02
SRR1564665	ERR2299667	0.03
SRR1564665	ERR2299668	0.04
SRR1564665	ERR2299669	0.03
SRR1564665	ERR2299670	0.04
SRR1564665	ERR2299699	0.04
SRR1564665	ERR2299672	0.04
SRR1564665	ERR2299673	0.04
SRR1564665	ERR2299674	0.04
SRR1564665	ERR2299675	0.04
SRR1564665	ERR2299704	0.04
SRR1564665	ERR2299679	0.07
SRR1564665	ERR2299680	0.05
SRR1564665	ERR2299681	0.03
SRR1564665	ERR2299682	0.04
SRR1564665	ERR2299683	0.04
SRR1564665	ERR2299684	0.07
SRR1564665	ERR2299685	0.03
SRR1564670	SRR1568112	0.04
SRR1564670	SRR1568118	0.04
SRR1564670	SRR1568128	0.05
SRR1564670	SRR1568155	0.07
SRR1564670	SRR1568160	0.07
SRR1564670	SRR1568169	0.03
SRR1564670	SRR1568171	0.03
SRR1564670	SRR1568207	1.00
SRR1564670	SRR1568213	0.10
SRR1564670	SRR1568221	0.03
SRR1564670	SRR1568227	0.07
SRR1564670	SRR1568230	0.03
SRR1564670	SRR1568235	0.04
SRR1564670	SRR1568236	0.00
SRR1564670	SRR1573226	0.05
SRR1564670	ERR2299557	0.03
SRR1564670	ERR2299558	0.03
SRR1564670	ERR2299582	0.04
SRR1564670	ERR2299586	0.02
SRR1564670	ERR2299596	0.06
SRR1564670	ERR2299666	0.03
SRR1564670	ERR2299667	0.03
SRR1564670	ERR2299668	0.02
SRR1564670	ERR2299669	0.02
SRR1564670	ERR2299670	0.03
SRR1564670	ERR2299699	0.03
SRR1564670	ERR2299672	0.02
SRR1564670	ERR2299673	0.03
SRR1564670	ERR2299674	0.03
SRR1564670	ERR2299675	0.03
SRR1564670	ERR2299704	0.02
SRR1564670	ERR2299679	0.04
SRR1564670	ERR2299680	0.02
SRR1564670	ERR2299681	0.03
SRR1564670	ERR2299682	0.02
SRR1564670	ERR2299683	0.02
SRR1564670	ERR2299684	0.04
SRR1564670	ERR2299685	0.02
SRR1568112	SRR1568118	0.05
SRR1568112	SRR1568128	0.03
SRR1568112	SRR1568155	0.02
SRR1568112	SRR1568160	0.02
SRR1568112	SRR1568169	0.03
SRR1568112	SRR1568171	0.02
SRR1568112	SRR1568207	0.04
SRR1568112	SRR1568213	0.03
SRR1568112	SRR1568221	0.01
SRR1568112	SRR1568227	0.02
SRR1568112	SRR1568230	0.03
SRR1568112	SRR1568235	0.01
SRR1568112	SRR1568236	0.00
SRR1568112	SRR1573226	0.01
SRR1568112	ERR2299557	0.01
SRR1568112	ERR2299558	0.02
SRR1568112	ERR2299582	0.01
SRR1568112	ERR2299586	0.01
SRR1568112	ERR2299596	0.10
SRR1568112	ERR2299666	0.74
SRR1568112	ERR2299667	0.75
SRR1568112	ERR2299668	0.81
SRR1568112	ERR2299669	0.74
SRR1568112	ERR2299670	0.03
SRR1568112	ERR2299699	0.76
SRR1568112	ERR2299672	0.81
SRR1568112	ERR2299673	0.75
SRR1568112	ERR2299674	0.75
SRR1568112	ERR2299675	0.03
SRR1568112	ERR2299704	0.81
SRR1568112	ERR2299679	0.03
SRR1568112	ERR2299680	0.02
SRR1568112	ERR2299681	0.75
SRR1568112	ERR2299682	0.81
SRR1568112	ERR2299683	0.81
SRR1568112	ERR2299684	0.03
SRR1568112	ERR2299685	0.01
SRR1568118	SRR1568128	0.05
SRR1568118	SRR1568155	0.05
SRR1568118	SRR1568160	0.06
SRR1568118	SRR1568169	0.05
SRR1568118	SRR1568171	0.04
SRR1568118	SRR1568207	0.04
SRR1568118	SRR1568213	0.07
SRR1568118	SRR1568221	0.03
SRR1568118	SRR1568227	0.05
SRR1568118	SRR1568230	0.06
SRR1568118	SRR1568235	0.04
SRR1568118	SRR1568236	0.02
SRR1568118	SRR1573226	0.03
SRR1568118	ERR2299557	0.03
SRR1568118	ERR2299558	0.03
SRR1568118	ERR2299582	0.03
SRR1568118	ERR2299586	0.03
SRR1568118	ERR2299596	0.14
SRR1568118	ERR2299666	0.04
SRR1568118	ERR2299667	0.05
SRR1568118	ERR2299668	0.05
SRR1568118	ERR2299669	0.05
SRR1568118	ERR2299670	0.06
SRR1568118	ERR2299699	0.05
SRR1568118	ERR2299672	0.05
SRR1568118	ERR2299673	0.05
SRR1568118	ERR2299674	0.05
SRR1568118	ERR2299675	0.06
SRR1568118	ERR2299704	0.05
SRR1568118	ERR2299679	0.04
SRR1568118	ERR2299680	0.05
SRR1568118	ERR2299681	0.05
SRR1568118	ERR2299682	0.05
SRR1568118	ERR2299683	0.05
